Gene,Sample,Mean,SD,CV,Range
cotF,Y2,2569.768115942029,379.58132654626934,0.14771034171973213,1515
cotF,Y3,8166.743271221532,22.752691949232283,0.002786017778887406,85
cotG,M1,8607.355442176871,8.181992170976349,0.0009505814214298388,30
cotG,M2,10327.882653061224,6.487165032231567,0.0006281214891910828,28
cotG,M3,8337.90306122449,12.103294389393051,0.0014515993170608513,47
cotG,Y1,8198.940476190477,10.48426391751499,0.0012787339959304542,59
cotG,Y2,8281.329931972788,9.526614132351023,0.0011503724897580045,54
cotG,Y3,8744.510204081633,9.932218218087232,0.0011358232749789942,52
cotH,M1,8623.311294765841,13.487994085236105,0.0015641316455110485,42
cotH,M2,10341.206611570247,12.26186821529715,0.001185728965281283,43
cotH,M3,8351.805325987145,11.237195699818724,0.0013454810380761047,50
cotH,Y1,8208.438016528926,11.91105463562378,0.0014510744445702189,46
cotH,Y2,8297.065197428834,10.47635516041716,0.0012626579291752057,42
cotH,Y3,8755.460973370064,11.093129803220174,0.0012669955170790189,48
cotI,M1,2736.733705772812,51.22632055738644,0.018718050809741062,209
cotI,M2,7634.700186219739,55.245242106097926,0.007236072243650495,214
cotI,M3,7901.581936685288,101.26041322113264,0.01281520764228275,308
cotI,Y1,8476.058659217877,26.61063883535664,0.0031395062145325122,99
cotI,Y2,7894.778398510242,119.0676394220725,0.015081821605599564,377
cotI,Y3,6030.778398510242,254.19594422498912,0.0421497736159203,894
cotJA,M1,7724.497991967872,588.0126392410641,0.07612308785017415,2201
cotJA,M2,7728.678714859438,725.664818368437,0.09389248086781606,3232
cotJA,M3,7708.204819277108,786.2046606092956,0.10199581861695102,3360
cotJA,Y1,8032.835341365462,37.74971955653061,0.004699426535252958,239
cotJA,Y2,7770.176706827309,910.7461541826384,0.11721048163324345,5525
cotJA,Y3,7793.586345381526,850.3168583836905,0.1091046946426131,5230
cotJB,M1,7851.30303030303,234.19704872898782,0.02982906758598881,901
cotJB,M2,7881.17803030303,205.77826517987788,0.0261100896831239,1086
cotJB,M3,7826.212121212121,308.88601587493065,0.0394681374707092,1333
cotJB,Y1,7997.916666666667,14.12843944014843,0.0017665149599560422,267
cotJB,Y2,7848.492424242424,414.8649144972285,0.05285918518769206,2123
